_WeChat246360****    2018-02-23     15:40^感谢导游大福这几天里景点接送的安排，真的很细致很贴心，三天玩得很开心，就是春节期间人太多了，每个项目都要排长队，幸好第二天果断买了“快捷通道手环”，不然一天下来都玩不了两个项目。酒店入住虽然出现了点小插曲，总体还是不错的，住得挺舒服！
M20530****    2018-02-22     12:56^很不错的导游，虽然中间有点事故，但是解决妥当！
_WeChat223648****    2018-02-21     19:39^一定要给满分。我门本身没有计划去广州临时决定时间特别紧张，结果导游特别辛苦的帮我门订门票订酒店，要知道过年期间房间特别紧张，导游在前台沟到半夜11点帮我门订房间十分感动感谢大福。再说下酒店非常干净舒服高档，行程安排合理全程接送。玩的十分高兴十分值得信赖的旅行社。推荐大家
1357036****    2018-02-21     13:42^帮人订的。导游挺好的，因为有老人小孩的。导游跟我们说不建议要长隆欢乐世界。
M250068****    2018-02-11     18:34^大福服务不错，懒人出游值得推荐
M248343****    2018-02-06     09:40^真的感受到了VIP的待遇，接待我们的大福真的很贴心，耐心的告诉我们游玩攻略，参加这个，我们真的来了一场说走就走的旅行，你只要听的建议去玩，其他的都帮你安排好了～恩，我自己带着娃玩的很开心～哈哈，再说一句，我还会再来的
_WeChat13726****    2018-01-31     16:42^大福的服务非常好！这个行程很完美！住宿也不错，周边饭店也很多。每个园一天的时间足够逛！大福推荐介绍可以采用，我基本按着他的浏览不用费脑全部搞定！玩得开心！
M31172****    2018-02-10     15:13^非常刺激！！！安全无风险！！！
1366495****    2017-10-21     15:43^服务很好，客服提前两天就联系我、很负责的接送我！教练也很好、很好玩、有机会下次还会去玩
_CFT0228778****    2017-10-04     23:03^小熊和玲儿叮咚都很负责，讲得很到位，服务贴心，五星好评没毛病！教练们也都非常好，人热情而且技术好，鹰飞跳伞，你值得尝试！人不跳伞汪活一世！
1342675****    2017-08-18     21:54^自由落体非常刺激，开伞以后美不胜收，难忘的体验！
_gf520152111013****    2017-08-01     10:06^太棒了，太棒了………每个人都需要的一次体验，挑战自我，工作人员都很nice，会让你比较放松！
118072****    2017-08-01     01:05^去挑战自己的极限和胆量，就来这个勇敢者的游戏
M7140****    2017-04-05     14:06^所有的安排很周到。从之前的联系确认到接送站，不会让人有陌生感。很棒的体验！挑！战！自！己！打卡成功！?
1360039****    2017-03-02     23:54^接待服务态度好，教练也照顾到位；过程很刺激很嗨而且风景也很美值得去体验！以后有机会还会再去。
M8096****    2016-10-01     22:36^太棒了，太棒了，太棒了………每个人都需要的一次体验，工作人员都很nice，会让你比较放松！况且就在广东，方便啦
_WeChat35313****    2016-08-08     15:24^不错的一次体验！教练非常不错！
1370010****    2016-07-20     17:17^太棒了！太棒了！太棒了！太棒了！太棒了！
M30311****    2016-07-07     20:25^挺刺激的，！！！！！！！！！！！！！！！
M21444****    2018-02-02     08:17^司机师傅服务态度很好，非常不错
190527****    2017-11-06     06:40^专门针对香港的接送机的士服务。
320649****    2017-04-22     22:14^全镇八条街道，房屋多数保持明清风格，街道均用青石板砌成。黄姚景区自然景观有八大景二十四小景，既有寺观庙祠，又有亭台楼阁。
